,Residents.Active
22656,1.0
22657,1.0
22658,0.0
22659,1.0
22660,2.0
22661,2.0
22662,4.0
22663,6.0
22664,7.0
22665,7.0
22666,18.0
22667,23.0
22668,24.0
22669,50.0
22670,168.0
22671,205.0
22672,208.0
22673,751.0
22674,836.0
22675,721.0
22676,691.0
22677,833.0
22678,890.0
22679,779.0
22680,396.0
22681,396.0
22682,374.0
22683,371.0
22684,344.0
22685,322.0
22686,174.0
22687,105.0
22688,96.0
22689,97.0
22690,100.0
22692,67.0
22693,55.0
22694,58.0
22695,56.0
22696,55.0
22697,22.0
22698,18.0
22699,42.0
22700,38.0
22701,44.0
22702,44.0
22703,44.0
